file,vertical,client,name_on_portfolio_page,sheet_row,drive_file_id
chiropractic-clinics/ripple-chiropractic/ripple-chiropractic-ranking-1st-on-google-maps-for-chiropractor-frankston-keyword.webp,Chiropractic Clinics,Ripple Chiropractic,Ripple Chiropractic Ranking 1st on Google Maps for 'Chiropractor Frankston' Keyword,150,1CRHFb8dgk0rKvIvUopmQgBUOOSueuPed
chiropractic-clinics/ripple-chiropractic/ripple-chiropractic-ranking-1st-on-google-search-google-maps-for-chiropractor-cranbourne-west-k.webp,Chiropractic Clinics,Ripple Chiropractic,Ripple Chiropractic Ranking 1st on Google Search & Google Maps for 'Chiropractor Cranbourne West' Keyword,128,1DEtcjbRwhcWoQswpXaGoqjWgBLmaNO6w
chiropractic-clinics/ripple-chiropractic/ripple-chiropractic-ranking-1st-on-google-search-google-maps-for-chiropractor-highett-keyword.webp,Chiropractic Clinics,Ripple Chiropractic,Ripple Chiropractic Ranking 1st on Google Search & Google Maps for 'Chiropractor Highett' Keyword,149,1ar3lT8RZpb1N-Ibx4ZBqn7IvUZYIXUEE
chiropractic-clinics/ripple-chiropractic/ripple-chiropractic-ranking-2nd-on-google-maps-for-chiropractor-coomera-keyword.webp,Chiropractic Clinics,Ripple Chiropractic,Ripple Chiropractic Ranking 2nd on Google Maps for 'Chiropractor Coomera' Keyword,126,170D_9kZ0C2_8m8EVX-gprDVrbL4sKpCS
cosmetic-clinics/aesthetic-nurse-irina/aesthetic-nurse-irina-ranking-1st-on-google-search-adn-google-maps-for-russian-lips-gold-coast.webp,Cosmetic Clinics,Aesthetic Nurse Irina,Aesthetic Nurse Irina Ranking 1st on Google Search adn Google Maps for 'Russian Lips Gold Coast' Keyword,181,1kkN8BRkY0fCZSzmF8kr_paoSifwroQfd
cosmetic-clinics/aesthetic-nurse-irina/aesthetic-nurse-irina-year-on-year-traffic-conversion-growth.webp,Cosmetic Clinics,Aesthetic Nurse Irina,Aesthetic Nurse Irina Year on Year Traffic & Conversion Growth,166,19DWVGbNI8gcb12Y2n9LH3BMZBjL8pyPt
cosmetic-clinics/ashbrooke-cosmetic-surgery/ashbrooke-cosmetic-surgery-ranking-3rd-on-google-search-for-arm-liposuction-sydney-keyword.webp,Cosmetic Clinics,Ashbrooke Cosmetic Surgery,Ashbrooke Cosmetic Surgery Ranking 3rd on Google Search for 'Arm Liposuction Sydney' Keyword,142,1edQYPme4pJl1rdbOd6aQC2qCeLUYbpXp
cosmetic-clinics/dr-queenie-chan/dr-queenie-chan-ranking-1st-and-2nd-on-google-search-for-bodytite-albury-wodonga-keyword.webp,Cosmetic Clinics,Dr Queenie Chan,Dr Queenie Chan Ranking 1st and 2nd on Google Search for 'Bodytite Albury Wodonga' Keyword,141,16ZB1uznqrXneSMwkwS2tZvxeSU0Yd2WY
cosmetic-clinics/dr-queenie-chan/dr-queenie-chan-ranking-1st-and-2nd-on-google-search-for-facetite-albury-keyword.webp,Cosmetic Clinics,Dr Queenie Chan,Dr Queenie Chan Ranking 1st and 2nd on Google Search for 'Facetite Albury' Keyword,140,10yuaXgETmx2Sv_3j3mfC8U_4RBL2N4md
cosmetic-clinics/dr-queenie-chan/dr-queenie-chan-ranking-1st-on-google-search-for-albury-cosmetic-centre-keyword.webp,Cosmetic Clinics,Dr Queenie Chan,Dr Queenie Chan Ranking 1st on Google Search for 'Albury Cosmetic Centre' Keyword,138,1ocdHrgC4zaOh8IVoBG9R2g-py46I-nww
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-all-interaction-results.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile All Interaction Results,198,1ne1w2arQ3fC1g1rm6I3jQeThh8AKwx2x
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-direction-request-results-2.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Direction Request Results,199,1B57AcImIrUylkpNYtFN5KrkJkFO3B5D_
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-direction-request-results.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Direction Request Results,192,1zRYbKz5Bq1hs73RTwchziCcfNmNHLxw8
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-optimisation-results-2.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Optimisation Results,195,160S_6hx7KtyT_TQGyO2-2lVpnW8zaze7
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-optimisation-results-3.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Optimisation Results,196,1Q4kdhCob95_T-HKMA9OR-laUpC720k3B
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-optimisation-results-4.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Optimisation Results,197,1U_DmTblqWqsMrcr0u-t43ReaihmYB1uo
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-optimisation-results.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Optimisation Results,194,1I986aDwyqRRYm5WJewGY6jJeLRds4eke
cosmetic-clinics/est-clinic/est-clinic-google-business-profile-overall-results.webp,Cosmetic Clinics,EST Clinic,EST Clinic Google Business Profile Overall  Results,193,1zoa1tEYtzPqzG5Y5ns6xzgCTh3cFcKM3
cosmetic-clinics/est-clinic/est-clinic-ranking-2nd-on-google-maps-for-cosmetic-clinic-melbourne-keyword.webp,Cosmetic Clinics,EST Clinic,EST Clinic Ranking 2nd on Google Maps for 'Cosmetic Clinic Melbourne' Keyword,7,1yUtqXecf1zE1O3CqczwDWlDtNWt0vzIY
cosmetic-clinics/est-clinic/est-clinic-ranking-3rd-on-google-maps-for-emsculpt-melbourne-keyword.webp,Cosmetic Clinics,EST Clinic,EST Clinic Ranking 3rd on Google Maps for 'Emsculpt Melbourne' Keyword,120,19rnUnexV_i_KZumRx-hbeG8ruCAoIOen
cosmetic-clinics/est-clinic/est-clinic-year-on-year-traffic-conversion-growth.webp,Cosmetic Clinics,EST Clinic,EST Clinic Year on Year Traffic & Conversion Growth,243,1MrnEmx2zoWNN3k22pOQ5wC8o_Ih26jPo
cosmetic-clinics/eastern-plastic-surgery/eastern-plastic-surgery-ranks-5th-on-google-search-results-for-the-epicanthoplasty-in-melbourne.webp,Cosmetic Clinics,Eastern Plastic Surgery,"Eastern Plastic Surgery Ranks 5th on Google Search Results for the ""Epicanthoplasty In Melbourne"" Keyword",208,1h88xZ6iVPT_WUceNa31U0_-9DJFSFfwN
cosmetic-clinics/iccm/iccm-ranking-1st-on-google-maps-for-thread-lift-sydney-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 1st on Google Maps for 'Thread Lift Sydney' Keyword,85,1AtDC49_HywVApdnIkEkkTcpOYZzJQfoD
cosmetic-clinics/iccm/iccm-ranking-1st-on-google-search-for-arm-liposuction-sydney-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 1st on Google Search for 'Arm Liposuction Sydney' Keyword,147,1Q0b56z6zQwXxk2VEniH7meZauMZJS1Qy
cosmetic-clinics/iccm/iccm-ranking-1st-on-google-search-for-liquid-lipo-injections-sydney-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 1st on Google Search for 'Liquid Lipo Injections Sydney' Keyword,82,1lgYFbyu9DNQFWsQomnPZyzldfiryS_vU
cosmetic-clinics/iccm/iccm-ranking-2nd-and-4th-on-google-search-for-chin-liposuction-sydney-cost-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 2nd and 4th on Google Search for 'Chin Liposuction Sydney Cost' Keyword,143,1tlVt-w2gImgD5Ev_svYE9oolXildJIy_
cosmetic-clinics/iccm/iccm-ranking-2nd-on-google-search-for-cosmetic-surgeon-campbelltown-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 2nd on Google Search for 'Cosmetic Surgeon Campbelltown' Keyword,74,1hxBnckoo2LI5ku85bX47jrnE5kMmkshp
cosmetic-clinics/iccm/iccm-ranking-2nd-on-google-search-for-neck-liposuction-sydney-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 2nd on Google Search for 'Neck Liposuction Sydney' Keyword,144,1mmwWC4oy-LOG_BCkSGcgWZ5H9MnqK5ez
cosmetic-clinics/iccm/iccm-ranking-3rd-on-google-search-for-chin-liposuction-sydney-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 3rd on Google Search for 'Chin Liposuction Sydney' Keyword,145,1Fxy7_AtB1iSqXrur2gxepy7LYjgN4Apn
cosmetic-clinics/iccm/iccm-ranking-4th-on-google-search-for-thigh-liposuction-keyword.webp,Cosmetic Clinics,ICCM,ICCM Ranking 4th on Google Search for 'Thigh Liposuction' Keyword,146,1jDvfyeEPbHskwqGPax0IQiiJE4tDB6ed
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-and-2nd-on-google-search-for-rf-needling-trinity-beach-keyword.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st and 2nd on Google Search for 'Rf Needling Trinity Beach' Keyword,80,1Q3yeGBFhinDimJgiWimKPY3EUrhuBoQr
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-maps-for-dermal-filler-injections-trinity-beach-keyw.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Maps for 'Dermal Filler Injections Trinity Beach' Keyword,79,18ktW-UYaBrpZ7djAyh9A37cwzlQ3WtH8
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-anti-wrinkle-treatment-tr.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Anti-Wrinkle Treatment Trinity Beach' Keyword,65,1RBnJb8xpkgw0UJJez6X-hEw-Vi4mnXGF
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-coolsculpting-near-me-key.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Coolsculpting Near Me' Keyword,76,17YqZ2XkRev1mVjgu-L7H8h5FPQKjc4Q_
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-face-threading-sydney-key.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Face Threading Sydney' Keyword,57,11T9vtlgXff04lFIJhBHkvVaTeKTmJgP3
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-radiofrequency-microneedl.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Radiofrequency Microneedling Trinity Beach' Keyword,77,1QRRbhw4D0CclEWo0GT46wJwGr_a0DoNj
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-1st-on-google-search-for-bbl-skin-treatment-brisbane-keyword.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 1st on Google Search for 'BBL Skin Treatment Brisbane' Keyword,81,1hKYs4Lv5J8Ohn-i5fJRuo28jsoDixBbb
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-2nd-and-3rd-on-google-search-for-fat-freezing-trinity-beach-keywor.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking 2nd and 3rd on Google Search for 'Fat Freezing Trinity Beach' Keyword,83,1qZO2-pkHFdlHam89eZ3Py3mZZWqEP4Vk
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-in-google-snippets-and-google-maps-for-the-keyword-dermal-fillers.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking in Google Snippets and Google Maps for the Keyword 'Dermal Fillers Cost Trinity Beach',69,1-77vbOULjIsos8pTiS1f6jX42CFAhPh4
cosmetic-clinics/jade-cosmetic-clinic/jade-cosmetic-clinic-ranking-in-the-top-3-positions-on-google-search-and-google-map-for-rf-micr.webp,Cosmetic Clinics,Jade Cosmetic Clinic,Jade Cosmetic Clinic Ranking in the Top 3 Positions on Google Search and Google Map for 'Rf Microneedling Trinity Beach' Keyword,71,1RbqHSyoO8OjV-9XRJQ9VUIUIoxhls9vX
cosmetic-clinics/lumiere/lumiere-ranking-1st-on-google-maps-for-liposuction-sydney-keyword.webp,Cosmetic Clinics,Lumiere,Lumiere Ranking 1st on Google Maps for 'Liposuction Sydney' Keyword,68,17srSFmIAnrP68Ijv6E-bDTh4TQiD3IMo
cosmetic-clinics/lumiere/lumiere-ranking-1st-on-google-search-for-chin-liposuction-sydney-cost-keyword.webp,Cosmetic Clinics,Lumiere,Lumiere Ranking 1st on Google Search for 'Chin Liposuction Sydney Cost' Keyword,148,1i66LyhARGo_-0fHoCvCZpAQaH973Ippf
cosmetic-clinics/lumiere/lumiere-ranking-2nd-on-google-maps-for-lip-fillers-sydney-keyword.webp,Cosmetic Clinics,Lumiere,Lumiere Ranking 2nd on Google Maps for 'Lip Fillers Sydney' Keyword,66,1Mob7H-FS4DlVlWnIDR94PzeGVOk9iVBc
cosmetic-clinics/lumiere/lumiere-ranking-3rd-on-google-search-for-laser-pigmentation-removal-sydney-keyword.webp,Cosmetic Clinics,Lumiere,Lumiere Ranking 3rd on Google Search for 'Laser Pigmentation Removal Sydney' Keyword,50,1-0Em_g9zi_OZJw5ETq7ltg_IuH4qWtkO
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-maps-for-dermal-fillers-rosebery-keyword.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Maps for 'Dermal Fillers Rosebery' Keyword,43,1yK_sx0v1hJpMF7G03Q_4Kd4RxpRhil0k
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-castle-hill-cosmetic-clinic.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Castle Hill Cosmetic Clinic' Keyword,36,1gL4jICKbi2XqudMffzNGz8VkhfBPnaV6
cosmetic-clinics/my-cosmetic-clinic/my-cosmetic-clinic-ranking-1st-on-google-search-and-google-maps-for-cosmetic-injections-nowra-k.webp,Cosmetic Clinics,My Cosmetic Clinic,My Cosmetic Clinic Ranking 1st on Google Search and Google Maps for 'Cosmetic Injections Nowra' Keyword,46,1OlYpfgDmvAi5N4OhcX4ryTVV56gyBAuf
